idOrden;idProducto;cantidadDevuelta;fechaDevolucion;motivoDevolucion;resolucion
28084;1592;9;5/2/2002;Producto dañado o defectuoso;Crédito de la tienda
70831;1484;3;9/17/2003;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
91757;4246;2;10/20/2003;Producto dañado o defectuoso;Intercambio por nuevos productos
35675;3333;3;12/25/2003;Producto o tamaño incorrecto;Intercambio por nuevos productos
93897;552;2;12/29/2003;Producto dañado o defectuoso;Intercambio por variante
97941;831;2;12/30/2003;Producto o tamaño incorrecto;Intercambio por nuevos productos
61925;2585;4;1/31/2004;Producto dañado o defectuoso;Intercambio por nuevos productos
47634;4305;3;2/2/2004;Producto dañado o defectuoso;Intercambio por variante
71342;5080;8;3/23/2004;Producto dañado o defectuoso;Crédito de la tienda
99841;151;6;5/2/2004;Cambio de idea o insatisfacción personal;Reembolso
11604;462;2;5/13/2004;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
16340;5463;1;5/14/2004;Producto dañado o defectuoso;Intercambio por nuevos productos
36045;2855;1;5/14/2004;Producto dañado o defectuoso;Reembolso
13196;857;6;5/16/2004;Producto o tamaño incorrecto;Intercambio por nuevos productos
11604;4469;2;5/17/2004;Cambio de idea o insatisfacción personal;Intercambio por variante
85115;1274;8;5/19/2004;Producto o tamaño incorrecto;Intercambio por nuevos productos
80046;2111;9;5/31/2004;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
44842;4309;2;7/9/2004;Producto dañado o defectuoso;Crédito de la tienda
40701;2311;10;7/24/2004;Cambio de idea o insatisfacción personal;Crédito de la tienda
43051;5746;7;7/30/2004;Producto dañado o defectuoso;Reembolso
17891;6101;4;8/14/2004;Cambio de idea o insatisfacción personal;Reembolso
12721;5593;5;10/21/2004;Producto dañado o defectuoso;Intercambio por nuevos productos
25916;2344;8;10/26/2004;Producto o tamaño incorrecto;Intercambio por variante
21489;1061;7;10/27/2004;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
49657;1251;5;11/4/2004;Cambio de idea o insatisfacción personal;Intercambio por variante
80028;644;8;11/15/2004;Producto o tamaño incorrecto;Intercambio por nuevos productos
96141;2800;3;11/17/2004;Cambio de idea o insatisfacción personal;Crédito de la tienda
89447;1120;6;12/5/2004;Cambio de idea o insatisfacción personal;Crédito de la tienda
95036;4740;7;12/15/2004;Producto dañado o defectuoso;Crédito de la tienda
90970;5800;1;12/25/2004;Cambio de idea o insatisfacción personal;Intercambio por variante
90970;2511;2;12/29/2004;Cambio de idea o insatisfacción personal;Intercambio por variante
85624;6609;2;1/7/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
94207;6845;2;1/16/2005;Producto o tamaño incorrecto;Intercambio por variante
94207;6618;1;1/17/2005;Cambio de idea o insatisfacción personal;Intercambio por variante
94849;2774;1;1/19/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
46084;552;8;1/20/2005;Producto dañado o defectuoso;Intercambio por variante
94207;2063;2;1/22/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
54844;556;3;1/26/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
19006;355;1;2/2/2005;Producto o tamaño incorrecto;Reembolso
48498;3974;4;2/2/2005;Producto dañado o defectuoso;Crédito de la tienda
97038;7284;2;2/9/2005;Producto dañado o defectuoso;Crédito de la tienda
18976;70;2;2/11/2005;Producto o tamaño incorrecto;Crédito de la tienda
63584;2272;6;2/11/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
48053;5061;11;2/14/2005;Producto o tamaño incorrecto;Reembolso
47023;2637;4;2/15/2005;Producto dañado o defectuoso;Intercambio por variante
86168;2255;11;2/20/2005;Producto dañado o defectuoso;Crédito de la tienda
97038;3651;10;2/26/2005;Producto dañado o defectuoso;Intercambio por variante
76887;3699;1;3/6/2005;Producto o tamaño incorrecto;Reembolso
67093;2051;3;3/12/2005;Producto o tamaño incorrecto;Intercambio por variante
46600;2166;5;3/17/2005;Producto dañado o defectuoso;Intercambio por nuevos productos
27795;5112;4;3/18/2005;Producto o tamaño incorrecto;Reembolso
5659;7532;6;4/1/2005;Producto dañado o defectuoso;Intercambio por variante
59376;4156;1;4/1/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
59376;255;1;4/1/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
86900;4422;8;4/1/2005;Producto dañado o defectuoso;Crédito de la tienda
29196;7081;1;4/13/2005;Producto o tamaño incorrecto;Reembolso
25912;2809;5;4/15/2005;Producto dañado o defectuoso;Crédito de la tienda
87180;5040;5;4/16/2005;Producto dañado o defectuoso;Reembolso
23964;7789;2;4/21/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
47673;5940;1;4/21/2005;Producto dañado o defectuoso;Crédito de la tienda
87585;7378;3;4/21/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
18809;2462;7;4/24/2005;Producto o tamaño incorrecto;Reembolso
32381;2192;8;4/27/2005;Producto dañado o defectuoso;Crédito de la tienda
32381;7504;1;4/27/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
90456;4193;1;4/30/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
94974;351;4;5/7/2005;Producto dañado o defectuoso;Intercambio por variante
23087;6242;4;5/18/2005;Producto dañado o defectuoso;Crédito de la tienda
47479;1849;1;5/18/2005;Cambio de idea o insatisfacción personal;Reembolso
94113;7705;2;5/20/2005;Cambio de idea o insatisfacción personal;Intercambio por variante
80069;3342;1;5/21/2005;Producto dañado o defectuoso;Intercambio por nuevos productos
16465;5830;4;5/22/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
80069;7674;4;5/23/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
23087;7725;11;5/25/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
54762;7101;2;5/27/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
11598;7897;2;6/1/2005;Producto dañado o defectuoso;Reembolso
96671;7921;2;6/8/2005;Producto dañado o defectuoso;Crédito de la tienda
445;164;3;6/9/2005;Cambio de idea o insatisfacción personal;Intercambio por variante
65669;410;3;7/4/2005;Producto dañado o defectuoso;Crédito de la tienda
16437;2176;8;7/6/2005;Producto dañado o defectuoso;Intercambio por nuevos productos
37909;1968;4;7/9/2005;Producto dañado o defectuoso;Crédito de la tienda
90087;7991;3;7/9/2005;Producto dañado o defectuoso;Crédito de la tienda
48643;3408;1;7/10/2005;Producto o tamaño incorrecto;Crédito de la tienda
31375;4424;1;7/16/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
87081;7976;5;8/10/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
35371;4333;3;8/12/2005;Cambio de idea o insatisfacción personal;Reembolso
74465;1897;3;8/18/2005;Producto dañado o defectuoso;Reembolso
74465;5482;3;8/21/2005;Cambio de idea o insatisfacción personal;Intercambio por variante
98069;5572;3;8/23/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
4022;5241;1;8/31/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
86530;8232;3;9/7/2005;Producto o tamaño incorrecto;Reembolso
61351;3756;7;9/9/2005;Producto o tamaño incorrecto;Crédito de la tienda
32821;5213;1;9/10/2005;Producto o tamaño incorrecto;Crédito de la tienda
96136;6255;7;9/11/2005;Producto o tamaño incorrecto;Crédito de la tienda
11902;3637;3;9/13/2005;Producto dañado o defectuoso;Crédito de la tienda
100068;621;4;9/13/2005;Producto o tamaño incorrecto;Intercambio por variante
14052;6781;1;9/17/2005;Producto dañado o defectuoso;Intercambio por variante
66343;3254;1;9/21/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
92106;5278;3;9/24/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
98651;1849;2;9/26/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
3485;7444;1;9/29/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
